NAME	DESCRIPTION	RootControl12h	RootControl24h	RootControl6h	RootPA0112h	RootPA0124h	RootPA016h
AT1G01010	NAC001@NAC domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q0WV96]	72.03	71.62	71.59	72.54	75.05	71.32
AT1G01020	ARV1@ARV1 family protein [Source:UniProtKB/TrEMBL;Acc:Q5MK24]	0.0	0.0	0.0	264.56	0.0	0.0
AT1G01030	NGA3@B3 domain-containing transcription factor NGA3 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAN1]	65.6	0.0	0.0	0.0	0.0	0.0
AT1G01040	DCL1@Dicer-like 1 [Source:UniProtKB/TrEMBL;Acc:F4HQG6]	0.0	0.0	0.0	0.0	19.94	17.73
AT1G01050	PPA1@Soluble inorganic pyrophosphatase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q93V56]	343.93	396.37	338.23	0.0	0.0	0.0
AT1G01060	LHY@LHY1 [Source:UniProtKB/TrEMBL;Acc:A0A178W761]	119.54	0.0	0.0	0.0	0.0	55.18
AT1G01070	NA@WAT1-related protein [Source:UniProtKB/TrEMBL;Acc:A0A178WFU3]	0.0	0.0	0.0	0.0	0.0	71.13
AT1G01090	PDH-E1 ALPHA@Pyruvate dehydrogenase E1 component subunit alpha [Source:UniProtKB/TrEMBL;Acc:A0A178W8A7]	126.62	251.91	188.95	63.72	0.0	250.89
AT1G01100	RPP1A@60S acidic ribosomal protein P1-1 [Source:UniProtKB/Swiss-Prot;Acc:Q8LCW9]	0.0	0.0	775.78	547.27	357.99	0.0
AT1G01120	KCS1@3-ketoacyl-CoA synthase [Source:UniProtKB/TrEMBL;Acc:A0A178W124]	0.0	57.75	57.78	116.79	121.03	0.0
AT1G01140	CIPK9@CBL-interacting protein kinase 9 [Source:TAIR;Acc:AT1G01140]	0.0	0.0	0.0	72.25	0.0	0.0
AT1G01160	GIF2@GRF1-interacting factor 2 [Source:UniProtKB/TrEMBL;Acc:F4HQJ3]	0.0	0.0	0.0	126.79	0.0	0.0
AT1G01170	NA@At1g01170 [Source:UniProtKB/TrEMBL;Acc:Q2HIQ2]	322.14	0.0	0.0	0.0	0.0	0.0
AT1G01190	CYP78A8@CYP78A8 [Source:UniProtKB/TrEMBL;Acc:A0A178WIC4]	0.0	0.0	0.0	0.0	0.0	72.22
AT1G01210	NA@DNA-directed RNA polymerase subunit [Source:UniProtKB/TrEMBL;Acc:Q9LNK0]	0.0	0.0	0.0	496.94	0.0	0.0
AT1G01220	FKGP@Bifunctional fucokinase/fucose pyrophosphorylase [Source:UniProtKB/Swiss-Prot;Acc:Q9LNJ9]	0.0	67.3	0.0	0.0	35.26	0.0
AT1G01225	NA@At1g01225 [Source:UniProtKB/TrEMBL;Acc:Q29PY0]	0.0	0.0	119.58	0.0	0.0	0.0
AT1G01260	BHLH13@Transcription factor bHLH13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNJ5]	0.0	0.0	86.77	0.0	0.0	0.0
AT1G01320	NA@Tetratricopeptide repeat (TPR)-like superfamily protein [Source:UniProtKB/TrEMBL;Acc:F4HS99]	0.0	37.16	0.0	0.0	0.0	0.0
AT1G01340	CNGC10@Probable cyclic nucleotide-gated ion channel 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNJ0]	48.71	0.0	0.0	0.0	0.0	0.0
AT1G01350	NA@Zinc finger CCCH domain-containing protein 1 [Source:UniProtKB/Swiss-Prot;Acc:Q8GX84]	0.0	86.04	0.0	0.0	90.16	85.65
AT1G01380	ETC1@MYB-like transcription factor ETC1 [Source:UniProtKB/Swiss-Prot;Acc:Q9LNI5]	0.0	0.0	0.0	0.0	0.0	186.72
AT1G01420	UGT72B3@UDP-glucosyl transferase 72B3 [Source:TAIR;Acc:AT1G01420]	0.0	80.55	0.0	0.0	0.0	0.0
AT1G01430	TBL25@Mannan O-acetyltransferase 3 [Source:UniProtKB/TrEMBL;Acc:A0A346P850]	0.0	0.0	55.37	0.0	0.0	0.0
AT1G01440	NA@At1g01440 [Source:UniProtKB/TrEMBL;Acc:Q6NQ63]	0.0	0.0	0.0	0.0	0.0	40.7
AT1G01470	LEA14@LSR3 [Source:UniProtKB/TrEMBL;Acc:A0A178W160]	92.94	92.34	184.34	187.5	0.0	91.91
AT1G01490	NA@Heavy metal transport/detoxification superfamily protein [Source:TAIR;Acc:AT1G01490]	85.83	170.59	170.37	86.53	81.85	0.0
AT1G01510	AN@C-terminal binding protein AN [Source:UniProtKB/Swiss-Prot;Acc:O23702]	44.24	0.0	0.0	44.46	0.0	0.0
AT1G01540	NA@Probable serine/threonine-protein kinase At1g01540 [Source:UniProtKB/Swiss-Prot;Acc:Q3EDL4]	0.0	0.0	0.0	0.0	114.56	108.91
AT1G01550	BPS1@Protein BPS1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LMM6]	78.02	152.61	154.99	393.03	162.54	231.66
AT1G01600	CYP86A4@Cytochrome P450 86A4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LMM1]	0.0	0.0	0.0	0.0	0.0	50.28
AT1G01610	GPAT4@GPAT4 [Source:UniProtKB/TrEMBL;Acc:A0A178W9F8]	62.58	186.76	124.53	188.95	65.23	62.0
AT1G01620	PIP1-3@TMP-B [Source:UniProtKB/TrEMBL;Acc:A0A178WIA6]	634.59	315.41	825.11	199.33	0.0	392.54
AT1G01630	NA@Polyphosphoinositide binding protein, putative [Source:UniProtKB/TrEMBL;Acc:Q9LQ96]	0.0	0.0	0.0	0.0	0.0	82.71
AT1G01640	NA@BTB/POZ domain-containing protein At1g01640 [Source:UniProtKB/Swiss-Prot;Acc:Q9LQ95]	0.0	0.0	0.0	0.0	119.29	115.68
AT1G01650	SPPL4@Signal peptide peptidase-like 4 [Source:UniProtKB/Swiss-Prot;Acc:Q0WMJ8]	53.27	0.0	53.05	0.0	0.0	52.81
AT1G01710	NA@Acyl-CoA thioesterase II [Source:UniProtKB/TrEMBL;Acc:F4HU51]	0.0	0.0	70.98	0.0	74.41	0.0
AT1G01720	NAC002@NAC domain-containing protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q39013]	294.93	293.25	0.0	148.54	0.0	292.0
