ID	M	A	P	Q	UPDOWN	ISDEG
AT1G01010	0.606646850708135	8.42044937831721	0.010220420169219	0.0534880955633248	UP	NO
AT1G01020	0.137022435521505	6.7890258776112	0.523097093369326	0.795378655539358	UP	NO
AT1G01030	0.623099040930824	2.52069165244088	0.420811167015532	0.70883512530887	UP	NO
AT1G01040	0.113147851057224	8.72361257722678	0.606293544083867	0.852198230650056	UP	NO
AT1G01046	-1.49948069382349	0.354849338898196	0.37204621807773	0.661601294818526	DOWN	NO
AT1G01050	-0.530910650145369	9.00784046108393	0.00166135380442544	0.0126839947750726	DOWN	NO
AT1G01060	-0.215257523475474	9.25689795293665	0.867384820775037	0.945270048274733	DOWN	NO
AT1G01070	0.784805481983829	7.4835947609106	0.00303666154021224	0.0208110291296765	UP	NO
AT1G01080	-0.425582347685613	5.82349310880178	0.156901888504722	0.38702256962836	DOWN	NO
AT1G01090	0.0392485047504056	10.7828499693097	0.844716374242015	0.941365629298686	UP	NO
AT1G01100	0.125558884276849	11.0154526195963	0.571033753960548	0.828972117546309	UP	NO
AT1G01110	-0.460525609337141	5.64749669479071	0.1748617966901	0.415688679880965	DOWN	NO
AT1G01120	0.790195363962392	10.1562924609395	7.34889081685874e-08	2.23048767225199e-06	UP	NO
AT1G01130	-0.74467588510082	2.57273201983931	0.36495843763824	0.654092358381601	DOWN	NO
AT1G01140	1.25557500199411	5.55322614856951	0.00566256972609982	0.0338575623555233	UP	YES
AT1G01150	1.43591682408705	-2.64782433449923	0.576217185829907	0.831252002400658	UP	NO
AT1G01160	0.336642981983305	8.12672891973265	0.0512159160883465	0.179428641645545	UP	NO
AT1G01170	-2.22302591926664	5.13266183483575	5.21559118742566e-06	9.80642282165437e-05	DOWN	YES
AT1G01180	-0.112297089614354	6.65321431413511	0.771441274491975	0.91979919204842	DOWN	NO
AT1G01183	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01190	1.26831206159331	8.16472984900927	0.00612543802953546	0.0358668227387757	UP	YES
AT1G01200	0.417760715051759	5.25336384066183	0.252078646303706	0.52569047316446	UP	NO
AT1G01210	0.155201216389462	6.30993959019098	0.613243084916734	0.856460353643461	UP	NO
AT1G01220	-0.34157158939021	7.59382019005012	0.158613030824501	0.389880961053639	DOWN	NO
AT1G01225	0.143377967205004	5.57574390817169	0.68963465475507	0.897901570107439	UP	NO
AT1G01230	-0.0464622857542834	7.86189158478377	0.784974509013406	0.927285753224578	DOWN	NO
AT1G01240	-1.20068805265315	6.69684673241755	3.24594149992788e-05	0.000484264678123298	DOWN	YES
AT1G01250	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01260	0.635175105553888	7.96527030419669	0.000386108048795757	0.00385889379188834	UP	NO
AT1G01270	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01280	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01290	0.367668153013855	6.75406124781262	0.148434381484265	0.3721932232772	UP	NO
AT1G01300	-0.219614537167223	8.80614907690772	0.414736780975375	0.703887264599685	DOWN	NO
AT1G01305	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01310	-0.870338625536606	-2.64782433449923	0.689933477404328	0.897901570107439	DOWN	NO
AT1G01320	-0.977225642420787	8.1037846452034	0.000126928791836451	0.00153120250542547	DOWN	NO
AT1G01335	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01340	1.55661421592589	8.71697726074234	0.00014492946951925	0.00170587302236427	UP	YES
AT1G01350	0.722092088964313	7.94324451366074	0.00419072678876583	0.0267673464434459	UP	NO
AT1G01355	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01360	-0.458635026602273	7.18909549372137	0.105307481198625	0.295953433112641	DOWN	NO
AT1G01370	-1.95190364053014	4.64734861645217	4.83117366619466e-05	0.000677406223592538	DOWN	YES
AT1G01380	1.14700391256938	3.1182745041811	0.105084766221778	0.295529224163376	UP	NO
AT1G01390	1.58929967139688	0.0977619001739786	0.375064743182484	0.665017191407094	UP	NO
AT1G01400	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01410	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01420	-1.15247026139033	5.68231058360611	0.00654665182341313	0.0378531735917297	DOWN	YES
AT1G01430	-1.19084233845675	7.08814826340587	0.000336119372480976	0.0034586277453207	DOWN	YES
AT1G01440	-0.053535732523815	7.73110313885577	0.832980371986649	0.941365629298686	DOWN	NO
AT1G01448	-0.515818872174037	6.60477635513698	0.0500368454396787	0.176349543998959	DOWN	NO
AT1G01450	0.730156582911953	1.66873487002363	0.49875588073258	0.776126704172618	UP	NO
AT1G01453	-1.92443769773847	5.27912601567476	0.00382353902291837	0.024924631952565	DOWN	YES
AT1G01460	3.36076150736317	-0.0382887269318334	0.0858372634974348	0.257765693939329	UP	NO
AT1G01470	0.193528748954485	9.20948276779497	0.538892953037203	0.807391709990123	UP	NO
AT1G01480	4.51249245613892	6.3964962180869	1.26674062245853e-09	5.84973716232904e-08	UP	YES
AT1G01490	0.527171246924546	9.19490064534291	0.000622701355302511	0.00574475716359366	UP	NO
AT1G01500	1.07438272453438	6.95308150879807	0.000241744266230011	0.00263688028321353	UP	YES
AT1G01510	0.00260080361188741	8.75607115469613	0.987958555485388	0.995092618411235	UP	NO
AT1G01520	2.11820429347971	0.362214211215396	0.219288150058454	0.481704724401544	UP	NO
AT1G01530	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01540	-0.336507113462233	8.30871768686867	0.0896487921349759	0.265411990232081	DOWN	NO
AT1G01550	0.816266370811386	10.9768325096315	4.80498520637276e-06	9.15281145016541e-05	UP	NO
AT1G01560	7.07765385780911	3.42762746723029	2.1281189508993e-14	2.27607388748563e-12	UP	YES
AT1G01570	0.0269351698343714	5.42814646444403	0.953644576475788	0.977624186988	UP	NO
AT1G01580	0.601213734875562	6.53167194637473	0.683293664639968	0.897901570107439	UP	NO
AT1G01590	0.0984511706663167	-2.64782433449923	0.859118959093201	0.941365629298686	UP	NO
AT1G01600	1.50835347495192	6.770940490643	0.00102723472486053	0.00861760988536649	UP	YES
AT1G01610	1.05524324264099	10.0825627441115	0.000972655457303931	0.00822115146361647	UP	YES
AT1G01620	-1.76682671974018	11.4106850961614	0.000951181920973709	0.00807151936147095	DOWN	YES
AT1G01630	0.190598091439931	9.07654153122308	0.239000468347122	0.507891413296405	UP	NO
AT1G01640	0.268568909435629	7.31740415060017	0.502497664632053	0.77924102589394	UP	NO
AT1G01650	0.0936952471025538	8.8737290393261	0.57621427492471	0.831252002400658	UP	NO
AT1G01660	-1.6245496305753	4.32325969142654	0.000601414916237405	0.00559223068143068	DOWN	YES
AT1G01670	-0.660821607776657	3.46835154512314	0.500919568003312	0.777906772712919	DOWN	NO
AT1G01680	5.15910395068395	1.88266403981751	3.13840672281757e-05	0.000470108704351806	UP	YES
AT1G01690	-1.11957178062619	5.41007219303525	0.00152768155227743	0.0118316302290176	DOWN	YES
AT1G01695	1.06010807838236	0.849827595353856	0.481013258595179	0.759646737845339	UP	NO
AT1G01700	-0.111466679981728	2.7757342260449	0.881224147815844	0.952001430403727	DOWN	NO
AT1G01710	0.51876796770849	8.13748103811354	0.00371474556945956	0.0243439002756148	UP	NO
AT1G01715	-0.0308564344508815	3.74736678647698	0.936890818246174	0.977616184238377	DOWN	NO
AT1G01720	0.753441235982818	10.1966261549814	6.31366136854864e-07	1.50419785700446e-05	UP	NO
AT1G01725	0.605517808696421	6.00009831328503	0.0798747772788714	0.245213197240799	UP	NO
AT1G01730	0.573832365688977	7.98472172163477	0.0013194628478236	0.0105326814598804	UP	NO
AT1G01740	0.333064057115926	5.92916708907092	0.233365508839707	0.499916106616823	UP	NO
AT1G01750	-2.90912965426365	6.86187872158222	6.56346566584868e-07	1.55322780402737e-05	DOWN	YES
AT1G01760	-0.616499364690311	4.96241654088518	0.156381586827803	0.386226610725301	DOWN	NO
AT1G01770	-0.266936116089593	7.52927698519264	0.462705735283854	0.74339804997243	DOWN	NO
AT1G01780	-0.993868674566659	7.36380919704964	0.000725819430986408	0.00648773330750731	DOWN	NO
AT1G01790	-0.568511623846033	7.58621008705891	0.0849859299464098	0.256118856459624	DOWN	NO
AT1G01800	0.148285619109416	9.1620924120591	0.367105458015241	0.656369043691167	UP	NO
AT1G01810	2.48341127317211	3.63457552080064	0.000225423935350673	0.00248519578169288	UP	YES
AT1G01820	0.0995403228747271	8.8812554314807	0.686641010768631	0.897901570107439	UP	NO
AT1G01830	-1.14900058824368	6.39617237326983	0.0112975084926898	0.0575907883673802	DOWN	YES
AT1G01840	-1.33372740840619	1.53679041417042	0.2907778195342	0.573457776905753	DOWN	NO
AT1G01860	0.149470798687408	5.73673538358621	0.614235654549039	0.856673093227637	UP	NO
AT1G01870	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01880	-0.327108775395546	3.69667938422996	0.585030304625491	0.83669885735263	DOWN	NO
AT1G01890	0.0	0.0	1.0	1.0	FLAT	NO
AT1G01900	-0.307711017610154	5.04727169169522	0.461439494857323	0.742809827127607	DOWN	NO
AT1G01910	-0.0480451764342948	8.77461578021794	0.735172151962524	0.917971009967352	DOWN	NO
AT1G01920	-0.0574027430002761	7.55468938773049	0.763665407623403	0.917971009967352	DOWN	NO
AT1G01930	0.111572755740235	7.12408933284529	0.591677387993918	0.84098386536519	UP	NO
AT1G01940	0.740506399779621	7.30365341599217	0.0310059603221194	0.123933547276862	UP	NO
AT1G01950	0.175231399509848	7.79022323495144	0.316449459832115	0.603209656246604	UP	NO
AT1G01960	-0.376198289184469	10.0243785795695	0.0148666296958914	0.0711949899722221	DOWN	NO
AT1G01970	0.170610589202024	5.74718685030732	0.555785907065298	0.818115265726599	UP	NO
AT1G01980	1.17225398228127	-2.64782433449923	0.616169386653247	0.856673093227637	UP	NO
AT1G01990	0.463522247342341	7.21198804189275	0.0225625857980368	0.0981220286439531	UP	NO
AT1G02000	0.369484037200589	7.44066039654164	0.0842343015788688	0.254536772848279	UP	NO
AT1G02010	-0.189084586000384	6.07620331538162	0.537701711068045	0.806683171827005	DOWN	NO
AT1G02020	0.336367915041476	6.41557378340214	0.238951603113606	0.507891413296405	UP	NO
AT1G02030	0.849110945723853	3.58184692643704	0.139329393973683	0.357452960281808	UP	NO
AT1G02040	-1.08912882743442	0.572995293172967	0.513692084815583	0.788598722931135	DOWN	NO
AT1G02050	0.0995738645029451	6.09595787214862	0.748805071959058	0.917971009967352	UP	NO
AT1G02060	0.209215253607123	6.10271567663809	0.447829694036944	0.732041843382079	UP	NO
AT1G02065	0.0	0.0	1.0	1.0	FLAT	NO
AT1G02067	0.0	0.0	1.0	1.0	FLAT	NO
AT1G02070	-2.40204451017803	-0.315463639134209	0.267086356567775	0.544756503373521	DOWN	NO
AT1G02080	0.317822622148972	10.6038824290508	0.0679647609558648	0.219484299077642	UP	NO
AT1G02090	0.500047126075932	8.77872756395665	0.024403938214716	0.104203888270442	UP	NO
AT1G02100	-0.066902769113149	8.64564922103231	0.769225643537606	0.918179956963962	DOWN	NO
AT1G02110	-0.523874134711246	7.28293570486364	0.0775220601651998	0.240063210846335	DOWN	NO
AT1G02120	0.199474376467604	9.46994744538359	0.34065937953342	0.628929205705626	UP	NO
AT1G02130	-0.0376575623663076	8.65989598345589	0.835903797007601	0.941365629298686	DOWN	NO
AT1G02140	0.0646245703085704	9.44670741216667	0.638322155737084	0.87254548963375	UP	NO
AT1G02145	0.0171333334963739	7.41596982138833	0.93070999995644	0.976062970241511	UP	NO
AT1G02150	-0.230259498763544	7.7268775336713	0.325324166815935	0.612704594096241	DOWN	NO
AT1G02160	0.208288543802709	6.72821630104302	0.365026683463752	0.654119768017368	UP	NO
AT1G02170	0.635731538514626	8.78390131558354	0.000165177024627326	0.00190338785934829	UP	NO
AT1G02180	-0.123891625862595	4.04450559332734	0.824108695910724	0.941365629298686	DOWN	NO
AT1G02190	1.14169029222838	-2.64782433449923	0.6223761003323	0.859577936216547	UP	NO
AT1G02205	-0.969266121958329	4.74840839204883	0.0824686796687841	0.250488222264197	DOWN	NO
AT1G02210	0.0	0.0	1.0	1.0	FLAT	NO
AT1G02220	1.85526827607981	9.90785943349762	9.26249568436175e-13	7.6026318397954e-11	UP	YES
AT1G02230	1.71089690276461	5.92237348988957	0.000519145250734992	0.00493497597716764	UP	YES
AT1G02250	2.50991064085154	0.55806738490131	0.120131607751254	0.323766935868057	UP	NO
AT1G02260	0.15396377529277	7.72538261010823	0.613924128927494	0.856613623307407	UP	NO
AT1G02270	0.380706822776545	7.1813401360207	0.0563027891050512	0.192368511634545	UP	NO
AT1G02280	-1.19252032431346	6.88910516447239	0.000489817520649306	0.00471380047711762	DOWN	YES
AT1G02290	-0.0166757357907716	6.52667194384155	0.959119923390034	0.980065217440408	DOWN	NO
AT1G02300	-1.66757583628099	5.11394426474504	0.000493058576259203	0.00473619952762826	DOWN	YES
AT1G02305	-0.538486685224521	9.76606450873646	0.0356592558390739	0.137248414824764	DOWN	NO
AT1G02310	1.29917185572827	6.06368304432923	0.00328804572372222	0.0221649270532827	UP	YES
AT1G02320	0.0	0.0	1.0	1.0	FLAT	NO
AT1G02330	0.484127947019687	8.09577263517174	0.00351763612701434	0.0233683028109751	UP	NO
AT1G02335	0.0738207079898103	7.76180526460519	0.865606776624896	0.944221865128469	UP	NO
AT1G02340	-1.96413792012037	5.8051013034385	1.95348398204765e-05	0.000312178365203553	DOWN	YES
AT1G02350	-0.121880573659023	0.577876041490523	0.94613438330069	0.977616184238377	DOWN	NO
