ID	RootControl6h	RootControl12h	RootControl24h	RootPA016h	RootPA0112h	RootPA0124h
AT1G01010	19.86	29.04	21.95	28.55	37.00	33.89
AT1G01020	11.78	10.83	13.04	12.25	11.97	11.49
AT1G01030	0.36	0.28	0.42	0.55	0.57	0.34
AT1G01040	6.96	9.50	9.44	7.26	8.94	9.50
AT1G01046	4.72	2.60	10.79	0.00	3.29	3.30
AT1G01050	93.85	103.82	93.72	58.05	57.22	70.99
AT1G01060	7.29	79.94	12.26	6.77	62.26	10.15
AT1G01070	10.81	12.88	11.89	13.38	19.42	22.55
AT1G01080	4.45	6.67	6.20	3.70	3.82	4.21
AT1G01090	130.86	116.89	143.49	132.48	137.50	98.67
AT1G01100	446.79	431.33	608.25	403.53	482.66	614.44
AT1G01110	2.99	3.88	4.93	2.76	2.85	2.23
AT1G01120	65.69	52.84	60.52	93.28	92.12	99.31
AT1G01130	4.02	4.67	5.89	1.15	1.91	5.12
AT1G01140	3.78	1.84	1.44	5.50	6.05	3.94
AT1G01150	0.00	0.00	0.00	0.00	0.00	0.25
AT1G01160	38.83	32.98	38.66	40.49	41.51	46.50
AT1G01170	17.85	39.22	28.02	6.64	7.39	3.04
AT1G01180	9.88	12.20	9.45	10.37	11.41	5.00
AT1G01183	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01190	19.38	5.74	22.88	39.35	27.09	39.34
AT1G01200	3.96	3.98	4.41	5.85	5.84	3.46
AT1G01210	18.04	19.90	23.61	14.76	23.09	25.65
AT1G01220	8.36	7.92	9.03	4.60	6.49	7.40
AT1G01225	6.26	7.29	5.84	9.18	5.60	4.95
AT1G01230	41.98	46.06	41.78	37.57	38.77	39.84
AT1G01240	14.62	16.61	11.12	4.49	6.71	5.99
AT1G01250	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01260	10.38	10.14	11.50	15.15	15.83	13.37
AT1G01270	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01280	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01290	9.06	9.16	8.89	8.99	11.38	13.56
AT1G01300	29.73	35.99	33.31	35.19	22.42	20.55
AT1G01305	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01310	0.00	0.15	0.15	0.00	0.00	0.00
AT1G01320	7.73	9.58	8.14	2.86	4.31	4.73
AT1G01335	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01340	11.20	20.24	8.39	30.58	50.88	26.38
AT1G01350	16.18	19.97	22.75	24.21	27.72	37.62
AT1G01355	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01360	21.20	25.50	18.96	16.40	16.80	10.82
AT1G01370	6.93	5.04	9.33	2.49	1.38	1.29
AT1G01380	0.77	0.97	1.99	2.42	1.94	3.55
AT1G01390	0.07	0.00	0.07	0.07	0.15	0.18
AT1G01400	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01410	0.00	0.00	0.00	0.00	0.00	0.00
AT1G01420	3.99	6.57	8.45	3.61	2.55	2.10
AT1G01430	9.51	14.16	17.02	6.91	5.38	4.03
AT1G01440	11.04	10.67	9.86	9.63	11.07	7.19
AT1G01448	6.43	8.30	6.19	4.17	4.97	4.15
AT1G01450	0.32	0.18	0.30	0.34	0.19	0.66
AT1G01453	7.29	10.98	6.48	4.11	1.35	0.50
